"Freq [GHz]","dB(S(p1,p1)) []","ang_rad(S(p1,p1)) [rad]"
3.562,-24.6101489540645,2.43323409113531
3.564,-24.6714910282942,2.41807857162137
3.566,-24.7341687102036,2.40293549581942
3.568,-24.7982184068277,2.38780387909037
3.57,-24.8636790485178,2.37268276426252
3.572,-24.9305922240462,2.35757122976826
3.574,-24.9990023235679,2.34246839856342
3.576,-25.0689566900296,2.32737344790822
3.578,-25.1405057796598,2.3122856200983
3.58,-25.2137033322296,2.29720423424452
3.582,-25.2886065518266,2.2821286992123
3.584,-25.3652762989507,2.26705852784404
3.586,-25.4437772948028,2.25199335260384
3.588,-25.5241783387158,2.23693294280018
3.59,-25.6065525397542,2.22187722356189
3.592,-25.6909775635997,2.20682629676469
3.594,-25.7775358959333,2.19178046413045
3.596,-25.8663151236326,2.17674025275057
3.598,-25.9574082352167,2.16170644331686
3.6,-26.0509139420959,2.14668010138211
3.602,-26.1469370223237,2.13166261201498
3.604,-26.2455886886937,2.11665571826489
3.606,-26.3469869831904,2.10166156390993
3.608,-26.4512571999757,2.0866827410288
3.61,-26.5585323392826,2.07172234301571
3.612,-26.6689535947915,2.05678402374885
3.614,-26.7826708772772,2.04187206373023
3.616,-26.8998433775421,2.02699144413978
3.618,-27.0206401718812,2.01214792989499
3.62,-27.1452408735605,1.9973481629813
3.622,-27.2738363340183,1.98259976752526
3.624,-27.4066293977048,1.96791146832766
3.626,-27.5438357146529,1.95329322486551
3.628,-27.6856846149789,1.93875638312109
3.63,-27.8324200495278,1.92431384801367
3.632,-27.9843016007366,1.90998027971221
3.634,-28.1416055674308,1.89577231771202
3.636,-28.304626126586,1.88170883729065
3.638,-28.4736765739295,1.86781124384422
3.64,-28.649090643448,1.85410381168348
3.642,-28.8312239030987,1.84061407518147
3.644,-29.0204552199279,1.82737328176724
3.646,-29.2171882818201,1.81441691822117
3.648,-29.4218531544697,1.80178532412945
3.65,-29.6349078398051,1.78952440930111
3.652,-29.8568397844681,1.77768649556386
3.654,-30.0881672619171,1.7663313077819
3.656,-30.3294405162057,1.75552714435035
3.658,-30.5812425051586,1.74535226400725
3.66,-30.8441890093381,1.73589653375909
3.662,-31.1189277720562,1.72726339221292
3.664,-31.4061361921894,1.71957219372965
3.666,-31.7065168878199,1.71296101144312
3.668,-32.0207901594268,1.70758999078914
3.67,-32.3496819707953,1.70364535840999
3.672,-32.6939054844311,1.70134420129593
3.674,-33.0541333686394,1.70094013224373
3.676,-33.4309569473326,1.70272993984616
3.678,-33.8248266833078,1.70706126576822
3.68,-34.2359663575277,1.7143412267425
3.682,-34.6642505543833,1.72504564892125
3.684,-35.1090317546102,1.73972811900684
3.686,-35.5688999257813,1.75902724293783
3.688,-36.0413553008488,1.78366914681252
3.69,-36.5223770925422,1.81446013464638
3.692,-37.0058832959735,1.85226140229694
3.694,-37.4831099699111,1.89793409047591
3.696,-37.9420067937676,1.95224017223059
3.698,-38.3668599265718,2.01568636311277
3.7,-38.7384974191447,2.08831093639028
3.702,-39.0355243695526,2.16944396599164
3.704,-39.2369029975825,2.25751800708352
3.706,-39.3256661294115,2.35004286047689
3.708,-39.2927301140535,2.44383625111692
3.71,-39.1392320860821,2.53549441560187
3.712,-38.8762379479901,2.62194734225301
3.714,-38.5219718613451,2.70088814542494
3.716,-38.0979008485494,2.77094716670541
3.718,-37.6251994780189,2.83162306373668
3.72,-37.1224552587281,2.88307432732062
3.722,-36.6046824206163,2.92588033215716
3.724,-36.0832728707805,2.96083878414102
3.726,-35.5664446299994,2.9888220896931
3.728,-35.0598622414644,3.01068859997337
3.73,-34.5672455465797,3.02723491623204
3.732,-34.0908878477158,3.03917512636036
3.734,-33.6320643657959,3.04713601206317
3.736,-33.1913397128858,3.05166082326518
3.738,-32.768792650486,3.05321704808529
3.74,-32.3641771985738,3.05220555113798
3.742,-31.9770365318891,3.04896967810814
3.744,-31.6067826393109,3.04380365129176
3.746,-31.2527515094802,3.03695999010619
3.748,-30.9142409842119,3.02865590845654
3.75,-30.5905364151632,3.01907874797975
3.752,-30.2809277785061,3.00839055166691
3.754,-29.984720832333,2.99673189500854
3.756,-29.7012441379744,2.98422508804566
3.758,-29.4298532255303,2.97097685063664
3.76,-29.1699328022873,2.95708054972005
3.762,-28.9208976339479,2.94261807382817
3.764,-28.6821925394493,2.92766140771761
3.766,-28.4532918070291,2.91227395916094
3.768,-28.2336982454615,2.89651168074708
3.77,-28.0229420183817,2.88042402185801
3.772,-27.8205793631459,2.86405473964636
3.774,-27.6261912629703,2.84744259263423
3.776,-27.4393821181419,2.83062193630329
3.778,-27.2597784460143,2.8136232365811
3.78,-27.0870276283079,2.79647351430834
3.782,-26.9207967164921,2.77919673147471
3.784,-26.7607713007216,2.76181412814018
3.786,-26.6066544442317,2.7443445174325
3.788,-26.458165682736,2.72680454476465
3.79,-26.3150400868659,2.70920891639592
3.792,-26.177027384781,2.6915706016234
3.794,-26.0438911415773,2.67390101220258
3.796,-25.9154079918969,2.65621016202933
3.798,-25.7913669221032,2.6385068096467
3.8,-25.6715685984697,2.62079858575278
3.802,-25.5558247379829,2.60309210756278
3.804,-25.4439575185613,2.58539308161072
3.806,-25.3357990257059,2.56770639635117
3.808,-25.2311907328253,2.55003620573342
3.81,-25.1299830126964,2.53238600476239
3.812,-25.0320346777315,2.51475869792633
3.814,-24.9372125469212,2.49715666125863
3.816,-24.8453910375028,2.47958179870447
3.818,-24.7564517795729,2.46203559338076
3.82,-24.6702832520104,2.44451915424737
3.822,-24.5867804382182,2.42703325864717
3.824,-24.5058445003106,2.40957839111968
3.826,-24.4273824704867,2.39215477884796
3.828,-24.3513069584298,2.37476242405876
3.83,-24.2775358736611,2.35740113366122
3.832,-24.2059921618575,2.34007054637935
3.834,-24.1366035542154,2.32277015760641
3.836,-24.0693023290092,2.30549934218612
3.838,-24.0040250845514,2.28825737530431
3.84,-23.9407125228148,2.27104345165607
3.842,-23.8793092430307,2.25385670303714
3.844,-23.8197635446169,2.2366962144927
3.846,-23.7620272388371,2.21956103914409
3.848,-23.7060554686272,2.20245021180133
3.85,-23.6518065360641,2.185362761459
3.852,-23.599241736986,2.16829772276272
3.854,-23.5483252023032,2.15125414652503
3.856,-23.4990237455721,2.13423110936131
3.858,-23.4513067164312,2.11722772250884
3.86,-23.4051458595282,2.10024313988614
3.862,-23.3605151785908,2.08327656544297
3.864,-23.3173908053229,2.06632725984667
3.866,-23.275750872828,2.04939454654518
3.868,-23.2355753932906,2.0324778172428
3.87,-23.1968461396636,2.01557653682092
3.872,-23.1595465311377,1.99869024773199
3.874,-23.1236615221844,1.9818185738924
3.876,-23.0891774949911,1.96496122409634
3.878,-23.0560821551213,1.94811799497102
3.88,-23.0243644302564,1.93128877349077
3.882,-22.9940143718927,1.91447353906594
3.884,-22.9650230598856,1.89767236522092
3.886,-22.9373825097494,1.88088542087402
3.888,-22.9110855826401,1.86411297123115
3.89,-22.8861258979612,1.84735537830377
3.892,-22.8624977485494,1.83061310106177
3.894,-22.8401960184113,1.81388669523046
3.896,-22.8192161029923,1.79717681274129
3.898,-22.7995538319758,1.78048420084561
3.9,-22.7812053946155,1.7638097009005
3.902,-22.7641672676192,1.74715424683637
3.904,-22.7484361456072,1.73051886331595
3.906,-22.7340088741768,1.71390466359495
3.908,-22.7208823856119,1.69731284709498
3.91,-22.7090536372793,1.68074469670019
3.912,-22.6985195527582,1.66420157578958
3.914,-22.6892769657526,1.64768492501753
3.916,-22.6813225668349,1.63119625885632
3.918,-22.6746528530705,1.61473716191455
3.92,-22.6692640805721,1.59830928504678
3.922,-22.6651522200277,1.58191434126999
3.924,-22.6623129152441,1.56555410150344
3.926,-22.6607414447429,1.54923039014928
3.928,-22.660432686438,1.5329450805315
3.93,-22.6613810854184,1.51670009021208
3.932,-22.6635806248527,1.50049737620282
3.934,-22.6670248000203,1.48433893009255
3.936,-22.6717065954683,1.46822677310926
3.938,-22.6776184652812,1.45216295113679
3.94,-22.6847523164414,1.43614952970641
3.942,-22.693099495246,1.42018858898273
3.944,-22.7026507767386,1.40428221876406
3.946,-22.7133963570993,1.38843251351637
3.948,-22.7253258489284,1.37264156746015
3.95,-22.7384282793492,1.35691146972849
3.952,-22.7526920908426,1.34124429961454
3.954,-22.7681051447184,1.32564212192528
3.956,-22.7846547271193,1.31010698245809
3.958,-22.8023275574431,1.29464090361546
3.96,-22.8211097990632,1.27924588017214
3.962,-22.840987072218,1.26392387520821
3.964,-22.861944468936,1.24867681621983
3.966,-22.8839665698552,1.23350659141893
3.968,-22.9070374627952,1.21841504623118
3.97,-22.9311407629316,1.20340398000067
3.972,-22.9562596344254,1.18847514290841
3.974,-22.982376813354,1.17363023311016
3.976,-23.0094746317931,1.15887089409821
3.978,-23.0375350428978,1.14419871228995
3.98,-23.066539646833,1.12961521484537
3.982,-23.0964697174046,1.11512186771372
3.984,-23.1273062292474,1.1007200739091
3.986,-23.1590298854294,1.08641117201299
3.988,-23.1916211453342,1.07219643490102
3.99,-23.2250602526923,1.05807706869015
3.992,-23.259327263635,1.04405421190161
3.994,-23.294402074651,1.03012893483375
3.996,-23.3302644503344,1.01630223913874
3.998,-23.3668940508175,1.00257505759571
4,-23.4042704587905,0.988948254072912
