"Freq [GHz]","dB(S(1,1)) []"
9.3,-14.5555754715483
9.3175,-14.5171954975203
9.335,-14.4753630821589
9.3525,-14.4299874578442
9.37,-14.3810469261297
9.3875,-14.3285882197364
9.405,-14.2727244758112
9.4225,-14.2136319085132
9.44,-14.1515453273949
9.4575,-14.0867526952216
9.475,-14.0195889518429
9.4925,-13.9504293480217
9.51,-13.8796825348602
9.5275,-13.8077836421343
9.545,-13.7351875550114
9.5625,-13.6623625664695
9.58,-13.5897845456522
9.5975,-13.5179317235899
9.615,-13.4472801599736
9.6325,-13.3782999201087
9.65,-13.3114519612705
9.6675,-13.2471857032216
9.685,-13.1859372388635
9.7025,-13.1281281276623
9.72,-13.0741647060666
9.7375,-13.0244378449102
9.755,-12.9793230829406
9.7725,-12.9391810673291
9.79,-12.9043582355372
9.8075,-12.8751876775684
9.825,-12.8519901228476
9.8425,-12.8350750012942
9.86,-12.8247415332089
9.8775,-12.8212798071052
9.895,-12.8249718083701
9.9125,-12.8360923644553
9.93,-12.8549099740558
9.9475,-12.881687488287
9.965,-12.9166826110983
9.9825,-12.9601481839065
10,-13.0123322155045
