"Freq [GHz]","dB(S(Antenna1_1_1,Antenna1_1_1)) []","ang_rad(S(Antenna1_1_1,Antenna1_1_1)) [rad]"
2.865,-8.33178945221207,0.11053356617169
2.87,-8.29655771465429,0.0896790846431474
2.875,-8.26385182277923,0.0686357185299817
2.88,-8.2338326527749,0.0474200056861113
2.885,-8.20664340335957,0.0260508441336976
2.89,-8.18240768041287,0.00454921980758836
2.895,-8.16122785062039,-0.0170620727277677
2.9,-8.14318367697673,-0.0387587161624469
2.905,-8.12833115182605,-0.0605151566741009
2.91,-8.11670155723587,-0.0823048944221275
2.915,-8.10830069642372,-0.104100777218563
2.92,-8.10310830126264,-0.125875297232288
2.925,-8.10107760246973,-0.147600895421343
2.93,-8.10213507973306,-0.16925027316242
2.935,-8.10618040533054,-0.190796712921667
2.94,-8.11308659514649,-0.21221441061487
2.945,-8.12270042928729,-0.233478818983249
2.95,-8.13484315670432,-0.254566999909583
2.955,-8.14931154177494,-0.275457988279741
2.96,-8.16587931626792,-0.296133155390756
2.965,-8.18429906507698,-0.316576575753886
2.97,-8.20430459562098,-0.336775381882065
2.975,-8.22561383072105,-0.35672010239992
2.98,-8.24793223319855,-0.376404968916032
2.985,-8.27095676535684,-0.395828182141477
2.99,-8.29438036162939,-0.414992120530453
2.995,-8.3178968336057,-0.4339034786649
3,-8.34120616823413,-0.452573322874868
3.005,-8.36402004174289,-0.471017049989318
3.01,-8.38606745575125,-0.48925424022431
3.015,-8.40710028738957,-0.507308399409869
3.02,-8.42689856919849,-0.525206586762481
3.025,-8.44527530291856,-0.542978931962229
3.03,-8.46208060443221,-0.560658051621621
3.035,-8.47720499645407,-0.578278377133855
3.04,-8.49058167951851,-0.595875414040807
3.045,-8.50218767391761,-0.613484956982466
3.05,-8.51204376348269,-0.631142284412728
3.055,-8.52021319732691,-0.648881362965777
3.06,-8.52679922510811,-0.666734088800627
3.065,-8.53194151387984,-0.684729589318853
3.07,-8.53581159906499,-0.702893612255499
3.075,-8.53860755017607,-0.721248017064035
3.08,-8.5405480300183,-0.739810382403156
3.085,-8.54186596189081,-0.758593739986738
3.09,-8.54280203056601,-0.777606434629457
3.095,-8.54359819904685,-0.796852107414552
3.1,-8.54449142803628,-0.81632979861961
3.105,-8.54570776696638,-0.836034156908141
3.11,-8.5474569267926,-0.85595574267877
3.115,-8.5499274477664,-0.876081413880981
3.12,-8.55328251568269,-0.896394773966002
3.125,-8.55765648464027,-0.916876676741822
3.13,-8.56315211600974,-0.937505763081207
3.135,-8.56983852429537,-0.958259026600884
3.14,-8.57774984562272,-0.979112391604426
3.145,-8.58688457339717,-1.00004129413323
3.15,-8.59720555291939,-1.02102126006478
3.155,-8.60864060623203,-1.04202846966936
3.16,-8.62108374350742,-1.0630403035653
3.165,-8.63439694337158,-1.08403586562118
3.17,-8.64841247420854,-1.10499647499097
3.175,-8.66293572117983,-1.12590612218996
3.18,-8.67774851554515,-1.14675188537374
3.185,-8.69261291708212,-1.16752429896218
3.19,-8.70727542481254,-1.18821766758414
3.195,-8.72147158407705,-1.20883032059302
3.2,-8.73493093317932,-1.22936479740808
3.205,-8.74738222506387,-1.24982795727422
3.21,-8.75855885686003,-1.270231007399
3.215,-8.76820438479686,-1.29058943981714
3.22,-8.77607804849456,-1.31092287754671
3.225,-8.78196015188297,-1.33125482188302
3.23,-8.78565715536176,-1.3516123038961
3.235,-8.7870063632938,-1.37202544237271
3.24,-8.78588001318468,-1.39252691560789
3.245,-8.78218867746673,-1.41315135520462
3.25,-8.77588381062239,-1.43393467893049
3.255,-8.76695936255037,-1.45491337582769
3.26,-8.75545237633732,-1.47612376889439
3.265,-8.74144255161017,-1.49760126860398
3.27,-8.72505075592346,-1.51937964858572
3.275,-8.70643654144813,-1.54149035699988
3.28,-8.68579476245082,-1.56396188932712
3.285,-8.66335136383665,-1.58681923547596
3.29,-8.63935855185979,-1.61008341854358
3.295,-8.61408943699115,-1.63377113488037
3.3,-8.58783237083998,-1.65789449899972
3.305,-8.56088511910424,-1.68246089904157
3.31,-8.53354904446507,-1.70747295782633
3.315,-8.50612346305678,-1.7329285958759
3.32,-8.47890027120832,-1.75882118860519
3.325,-8.45215900451182,-1.78513980506431
3.33,-8.42616236341625,-1.81186952073603
3.335,-8.40115230945534,-1.83899178912224
3.34,-8.37734677119976,-1.86648486031958
3.345,-8.35493695267813,-1.89432423476411
3.35,-8.33408529167577,-1.9224831404124
3.355,-8.31492404274474,-1.95093302252653
3.36,-8.29755444807642,-1.97964403650634
3.365,-8.28204651029003,-2.00858553334225
3.37,-8.26843929582936,-2.03772653315484
3.375,-8.25674173969919,-2.06703617514158
3.38,-8.24693392511517,-2.09648414340063
3.385,-8.23896876792137,-2.12604105839802
3.39,-8.23277406234263,-2.15567883250179
3.395,-8.22825486580165,-2.18537098548167
3.4,-8.22529611560014,-2.21509291504948
3.405,-8.22376547965716,-2.24482212322299
3.41,-8.22351634494394,-2.27453839233241
3.415,-8.22439090783515,-2.30422391515605
3.42,-8.22622329200446,-2.3338633741977
3.425,-8.22884265767656,-2.36344397329286
3.43,-8.23207622897889,-2.39295542415186
3.435,-8.23575217737994,-2.42238988701165
3.44,-8.23970235573992,-2.45174187368566
3.445,-8.2437647744484,-2.48100811221668
3.45,-8.24778584828354,-2.51018738291402
3.455,-8.25162233199891,-2.5392803279574
3.46,-8.25514297795129,-2.56828924213501
