"Freq [GHz]","dB(S(Antenna1_1_1,Antenna1_1_1)) []","ang_rad(S(Antenna1_1_1,Antenna1_1_1)) [rad]"
2.86,-8.81247128675187,0.0918560770013581
2.865,-8.81531126555216,0.0785242184618173
2.87,-8.81134227704697,0.0655278782809194
2.875,-8.80021082904409,0.0527251505716275
2.88,-8.78176153028974,0.0399700633596478
2.885,-8.75604024528796,0.0271166951519735
2.89,-8.72328962187606,0.0140232737960911
2.895,-8.68393720784174,0.00055603037043801
2.9,-8.63857715201044,-0.0134073899696879
2.905,-8.58794682669513,-0.027975118081573
2.91,-8.53289996571888,-0.0432389468581805
2.915,-8.47437800495155,-0.0592729560876597
2.92,-8.41338133425101,-0.0761328494026909
2.925,-8.3509417237819,-0.0938559403764991
2.93,-8.28809710081465,-0.112461690468059
2.935,-8.22586936555614,-0.131952677444125
2.94,-8.16524561195745,-0.152315874017121
2.945,-8.10716289665776,-0.173524122910835
2.95,-8.05249633760351,-0.195537706502413
2.955,-8.00205027407493,-0.218305925604227
2.96,-7.95655205621978,-0.241768629020386
2.965,-7.91664796048887,-0.265857649941718
2.97,-7.88290078791134,-0.290498118949676
2.975,-7.85578866608215,-0.315609648312168
2.98,-7.83570465312967,-0.341107386136383
2.985,-7.82295680157671,-0.366902949764002
2.99,-7.81776836855921,-0.392905258288547
2.995,-7.82027798139677,-0.419021283828985
3,-7.83053954787597,-0.445156748873651
3.005,-7.84852186275931,-0.471216797303421
3.01,-7.87410783190866,-0.497106667349617
3.015,-7.90709335906793,-0.522732398533741
3.02,-7.9471859492608,-0.548001599474404
3.025,-7.99400319978633,-0.572824305324596
3.03,-8.0470714025486,-0.597113952683152
3.035,-8.10582450610295,-0.620788489103453
3.04,-8.16960384639526,-0.643771636907582
3.045,-8.23765906286521,-0.66599431506043
3.05,-8.30915067552226,-0.687396214205068
3.055,-8.38315490247256,-0.707927499913961
3.06,-8.45867127528454,-0.727550616198236
3.065,-8.53463352556737,-0.746242106966267
3.07,-8.60992427059752,-0.763994387534882
3.075,-8.68339366789152,-0.78081734947186
3.08,-8.75388216242697,-0.796739667094533
3.085,-8.82024694488302,-0.811809672994999
3.09,-8.88139147179567,-0.82609565173201
3.095,-8.93629691313345,-0.839685434374949
3.1,-8.98405402147481,-0.852685192940214
3.105,-9.02389360538568,-0.865217401350498
3.11,-9.05521359489749,-0.877417977078618
3.115,-9.0776007659224,-0.889432705982532
3.12,-9.09084546471957,-0.901413111414704
3.125,-9.09494806692037,-0.913512000419649
3.13,-9.09011672017455,-0.925878937881102
3.135,-9.07675645705869,-0.938655925086448
3.14,-9.05545062865982,-0.951973527374051
3.145,-9.02693605166009,-0.965947649169829
3.15,-8.99207377120845,-0.980677091240356
3.155,-8.95181739947747,-0.996241951959796
3.16,-8.90718099418313,-1.01270286049406
3.165,-8.85920817704114,-1.03010097639412
3.17,-8.80894379331723,-1.0484586449689
3.175,-8.75740912340169,-1.06778056739676
3.18,-8.70558104138579,-1.08805535250199
3.185,-8.65437538715383,-1.1092573032857
3.19,-8.60463434102468,-1.13134832532375
3.195,-8.55711747866106,-1.1542798546533
3.2,-8.5124960596908,-1.17799473100099
3.205,-8.47134998433379,-1.20242896408788
3.21,-8.43416692261781,-1.22751335728737
3.215,-8.40134310233916,-1.25317497798133
3.22,-8.37318530786028,-1.2793384686484
3.225,-8.34991374787495,-1.30592720764277
3.23,-8.33166543646106,-1.33286432937822
3.235,-8.31849796237419,-1.36007362674755
3.24,-8.31039335837829,-1.38748035044053
3.245,-8.30726207110062,-1.41501192680579
3.25,-8.30894693824841,-1.44259861002025
3.255,-8.31522717047637,-1.47017408828727
3.26,-8.32582235649753,-1.49767605547651
3.265,-8.34039660754641,-1.52504675848271
3.27,-8.35856280401051,-1.55223353067772
3.275,-8.37988718231084,-1.57918931053268
3.28,-8.40389424139778,-1.60587314797535
3.285,-8.43007213598023,-1.63225069288606
3.29,-8.45787863065338,-1.65829465480652
3.295,-8.4867476912346,-1.68398522549621
3.3,-8.51609674971216,-1.70931044172174
3.305,-8.54533464684044,-1.73426647164955
3.31,-8.57387027115529,-1.75885780552347
3.315,-8.6011217207161,-1.78309732195643
3.32,-8.62652589401985,-1.80700621458127
3.325,-8.64954833474247,-1.83061375621001
3.33,-8.66969299570554,-1.85395688833634
3.335,-8.68651170395291,-1.87707962739192
3.34,-8.69961296481862,-1.90003229177867
3.345,-8.70866977043034,-1.92287055127881
3.35,-8.71342611130415,-1.94565433111929
3.355,-8.71370189568889,-1.96844658770854
3.36,-8.7093960650099,-1.99131200006183
3.365,-8.70048777190606,-2.01431561648162
3.37,-8.68703555415242,-2.03752150447272
3.375,-8.66917458937692,-2.06099144675478
3.38,-8.64711213330563,-2.0847837306759
