"Freq [GHz]","dB(S(Antenna1_1_1,Antenna1_1_1)) []","ang_rad(S(Antenna1_1_1,Antenna1_1_1)) [rad]"
3.03,-8.22554762260139,-0.530016654884462
3.035,-8.208099395171,-0.551445365932989
3.04,-8.19351875601051,-0.573299973329118
3.045,-8.18223013542072,-0.595542155259895
3.05,-8.17461178876671,-0.618127772080625
3.055,-8.17099123983093,-0.641007518573689
3.06,-8.17164129308788,-0.664127588690897
3.065,-8.17677653100396,-0.687430346434527
3.07,-8.18655017417751,-0.710855010382823
3.075,-8.20105127632468,-0.734338349041037
3.08,-8.22030219638936,-0.757815404149605
3.085,-8.24425633617495,-0.781220243393801
3.09,-8.27279620359585,-0.80448675793284
3.095,-8.30573180452541,-0.827549513990017
3.1,-8.34279955546631,-0.850344666708316
3.105,-8.38366177557888,-0.872810948295476
3.11,-8.42790703054223,-0.8948907270768
3.115,-8.47505149478907,-0.916531143376532
3.12,-8.52454162959295,-0.937685308220744
3.125,-8.57575841434507,-0.958313550570935
3.13,-8.62802344676082,-0.978384684542963
3.135,-8.68060709140993,-0.997877259793963
3.14,-8.73273893505377,-1.01678074426322
3.145,-8.78362056858517,-1.03509657564127
3.15,-8.83244072039047,-1.05283902057239
3.155,-8.87839248263405,-1.07003575765409
3.16,-8.92069227905616,-1.08672811855199
3.165,-8.95859995040022,-1.10297091863364
3.17,-8.99143917834735,-1.11883182801783
3.175,-9.01861732025256,-1.13439025761824
3.18,-9.03964358080551,-1.14973576387853
3.185,-9.05414452982022,-1.16496601179363
3.19,-9.06187593612863,-1.18018436864721
3.195,-9.06273023844041,-1.19549723390424
3.2,-9.05673908289933,-1.21101123448922
3.205,-9.04407080732796,-1.22683042675412
3.21,-9.02502308875776,-1.24305364210594
3.215,-9.00001118969694,-1.25977210758412
3.22,-8.96955271195503,-1.27706744152299
3.225,-8.93424973111693,-1.29501009520993
3.23,-8.89476941087389,-1.31365827408742
3.235,-8.85182414502149,-1.33305734566793
3.24,-8.80615212472262,-1.35323969808902
3.245,-8.75849916441086,-1.37422499873181
3.25,-8.709602305125,-1.39602079247749
3.255,-8.66017564463948,-1.41862335250847
3.26,-8.6108985160582,-1.44201872056534
3.265,-8.56240611482053,-1.46618385891934
3.27,-8.51528239030597,-1.49108785397726
3.275,-8.47005508303129,-1.51669312268361
3.28,-8.42719259833621,-1.54295657949681
3.285,-8.38710244777734,-1.56983073634646
3.29,-8.350130989439,-1.59726471769962
3.295,-8.31656415941389,-1.62520518032158
3.3,-8.28662896599265,-1.65359713354714
3.305,-8.26049552621184,-1.6823846626467
3.31,-8.23827942795314,-1.7115115638601
3.315,-8.22004432911523,-1.74092189556757
3.32,-8.20580460922529,-1.77056045962456
3.325,-8.19552803799796,-1.80037322094365
3.33,-8.18913838818077,-1.83030768160151
3.335,-8.18651795621284,-1.86031321360116
3.34,-8.18750999474943,-1.8903413671418
3.345,-8.19192107773734,-1.92034615976901
3.35,-8.19952337895846,-1.9502843541252
3.355,-8.21005699686489,-1.98011573368933
3.36,-8.22323228128342,-2.00980337777699
3.365,-8.23873229683374,-2.03931393957103
3.37,-8.25621547189342,-2.06861792674706
3.375,-8.27531847042536,-2.0976899847135
3.38,-8.29565942143633,-2.1265091753535
3.385,-8.31684150155636,-2.15505924523261
3.39,-8.33845695493427,-2.18332887617672
3.395,-8.36009158057084,-2.21131190201422
3.4,-8.38132967497637,-2.2390074844861
3.405,-8.40175944101902,-2.26642023024519
3.41,-8.42097877523085,-2.2935602322227
3.415,-8.43860138788406,-2.32044302750116
3.42,-8.45426310123411,-2.34708945368709
3.425,-8.46762820349134,-2.37352539361197
3.43,-8.47839565110009,-2.39978140613665
3.435,-8.48630492535334,-2.42589223656535
3.44,-8.4911413667702,-2.45189621305175
3.445,-8.49274071115439,-2.47783453758346
3.45,-8.49099271538113,-2.50375048564016
3.455,-8.4858436287799,-2.52968853780801
3.46,-8.4772974763388,-2.55569346595109
3.465,-8.46541599178302,-2.58180939932141
3.47,-8.45031727321763,-2.60807890684762
3.475,-8.43217314484582,-2.63454211776045
3.48,-8.41120536155215,-2.66123590722633
3.485,-8.38768077626803,-2.68819317689275
3.49,-8.36190567807609,-2.71544223895078
3.495,-8.33421949872134,-2.7430063244553
3.5,-8.30498810204833,-2.77090321496669
3.505,-8.27459687332247,-2.79914500950723
3.51,-8.24344382965233,-2.82773800721563
3.515,-8.21193290654448,-2.85668271151792
3.52,-8.18046757178747,-2.88597393652744
3.525,-8.14944488875826,-2.91560100218085
3.53,-8.1192501319832,-2.94554800329742
3.535,-8.09025194687876,-2.97579413898988
3.54,-8.06279812124525,-3.00631408317297
3.545,-8.03721194391326,-3.03707838820909
3.55,-8.01378913209149,-3.06805390383105
3.555,-7.99279524465362,-3.09920420438515
3.56,-7.97446359071075,-3.13049001896857
3.565,-7.95899350972106,3.12131565432185
3.57,-7.94654901768312,3.08988590608899
3.575,-7.93725770492199,3.05845135382374
3.58,-7.9312098778953,3.02705852239667
3.585,-7.92845786021273,2.9957547657703
3.59,-7.92901545314905,2.96458789022296
3.595,-7.93285746898708,2.9336057773389
3.6,-7.93991940087282,2.902856006744
3.605,-7.95009715389852,2.87238546816007
3.61,-7.96324690145718,2.84223996185364
3.615,-7.97918507995421,2.81246378073622
3.62,-7.99768855919221,2.78309926842617
3.625,-8.01849507280799,2.75418635023107
3.63,-8.0413039704489,2.72576203742493
3.635,-8.06577739068327,2.69785990000142
3.64,-8.09154196535469,2.67050951369108
3.645,-8.11819114266672,2.64373588788252
3.65,-8.14528828982471,2.61755887866705
3.655,-8.17237062319173,2.59199260609149
3.66,-8.19895410668043,2.56704488933608
3.665,-8.22453936565286,2.54271672418889
3.67,-8.2486186211247,2.51900182632083
3.675,-8.2706836740397,2.49588627035153
3.68,-8.29023479115549,2.47334825469213
3.685,-8.30679038562232,2.45135802369899
3.69,-8.31989723366977,2.42987797049804
3.695,-8.32914092895026,2.40886294989497
3.7,-8.33415621754224,2.38826081020877
3.705,-8.33463677980897,2.36801314951462
3.71,-8.33034404061466,2.34805629616097
3.715,-8.32111455217136,2.32832248123104
3.72,-8.30686559396703,2.30874118156164
3.725,-8.28759861822086,2.28924058081499
3.73,-8.26340039351949,2.26974909778817
3.735,-8.23444167795338,2.25019692401204
3.74,-8.20097351746719,2.23051750746023
3.745,-8.1633212743775,2.21064892722144
3.75,-8.12187674483431,2.19053511128174
3.755,-8.07708862332922,2.17012684958949
3.76,-8.0294518506874,2.14938258740566
3.765,-7.97949620913237,2.12826897272342
3.77,-7.9277746702714,2.10676116376515
3.775,-7.87485186375722,2.08484290645174
3.78,-7.82129304629418,2.06250639443945
3.785,-7.7676538643545,2.03975194645012
3.79,-7.71447108733019,2.01658752412325
3.795,-7.66225449940772,1.99302812525424
3.8,-7.61147998200355,1.96909508072976
3.805,-7.56258383080608,1.94481528753427
3.81,-7.51595826083751,1.92022039977226
3.815,-7.47194806330076,1.89534600056561
3.82,-7.43084829165418,1.87023077527617
3.825,-7.39290294105174,1.84491569469891
3.83,-7.35830445713816,1.81944322462551
3.835,-7.32719403725148,1.79385656409344
3.84,-7.29966262712027,1.76819892178259
3.845,-7.27575251227853,1.74251282973544
3.85,-7.2554594687523,1.71683950045167
3.855,-7.23873542790573,1.69121822600624
3.86,-7.22549157877371,1.66568582306716
3.865,-7.21560192055969,1.64027612245475
3.87,-7.20890720164716,1.61501950975668
3.875,-7.20521924141106,1.58994251349455
3.88,-7.20432560281976,1.56506745109028
3.885,-7.20599458641913,1.54041213181317
3.89,-7.20998051619657,1.5159896234037
3.895,-7.21602927376446,1.49180808768778
3.9,-7.22388400545945,1.46787068769774
3.905,-7.23329097514958,1.44417557652597
3.91,-7.24400544477871,1.42071596150434
3.915,-7.25579752697705,1.39748025945421
3.92,-7.26845787413031,1.37445233283353
3.925,-7.28180314160332,1.35161181104088
3.93,-7.29568108303781,1.32893449270466
3.935,-7.30997520985055,1.30639282190175
3.94,-7.3246088743586,1.2839564336108
3.945,-7.33954874405597,1.26159275348561
3.95,-7.35480757722559,1.23926764372531
3.955,-7.37044626123275,1.21694607965208
3.96,-7.38657510139486,1.19459284469749
3.965,-7.40335437698718,1.17217322862976
3.97,-7.42099417194602,1.14965371449187
3.975,-7.43975358715753,1.12700264755089
3.98,-7.45993936515391,1.10419086901808
3.985,-7.48190404978876,1.08119231445255
3.99,-7.50604377721669,1.05798456775346
3.995,-7.53279581239553,1.03454937142003
4,-7.56263594278246,1.01087309599632
