"Freq [GHz]","dB(S(Antenna1_1_1,Antenna1_1_1)) []","ang_rad(S(Antenna1_1_1,Antenna1_1_1)) [rad]"
2.89,-8.22023769585055,0.00236627446357077
2.895,-8.20121273285059,-0.0186554252582199
2.9,-8.18464845164865,-0.0397345601640462
2.905,-8.17057282949405,-0.0608554870874403
2.91,-8.15899965991984,-0.0820020262964553
2.915,-8.14992830804962,-0.103157615069095
2.92,-8.14334352586177,-0.12430545402552
2.925,-8.13921526770134,-0.145428651684867
2.93,-8.13749853850131,-0.16651036913839
2.935,-8.13813324730101,-0.187533968496907
2.94,-8.14104408484031,-0.20848317013427
2.945,-8.1461404691483,-0.229342220635532
2.95,-8.15331657217038,-0.250096072802041
2.955,-8.16245147495517,-0.270730582183479
2.96,-8.17340951459581,-0.291232713849193
2.965,-8.18604085102264,-0.31159076389329
2.97,-8.20018231960787,-0.331794587091486
2.975,-8.21565859954265,-0.351835827571772
2.98,-8.23228374670568,-0.371708144901174
2.985,-8.249863103985,-0.391407427377333
2.99,-8.26819559736902,-0.410931982941549
2.995,-8.28707639941223,-0.430282696422061
3,-8.30629994339156,-0.449463144832743
3.005,-8.32566319735519,-0.468479659156878
3.01,-8.34496915570819,-0.487341323415337
3.015,-8.36403041652086,-0.506059906727889
3.02,-8.38267274566596,-0.524649720753609
3.025,-8.40073848519446,-0.543127402671753
3.03,-8.41808968740084,-0.561511626338741
3.035,-8.43461082905391,-0.57982274600035
3.04,-8.45021097937183,-0.598082381873528
3.045,-8.46482533431946,-0.616312961749262
3.05,-8.47841603461195,-0.634537231065318
3.055,-8.49097219617013,-0.652777750448466
3.06,-8.50250918909768,-0.671056399319012
3.065,-8.51306713744722,-0.689393900113927
3.07,-8.52270872524389,-0.707809384288335
3.075,-8.53151639307896,-0.726320011378644
3.08,-8.53958903280674,-0.744940654250622
3.085,-8.54703830675149,-0.763683660145912
3.09,-8.55398473945524,-0.782558690915336
3.095,-8.56055371058834,-0.801572643299524
3.1,-8.56687149246893,-0.820729649784435
3.105,-8.5730614404574,-0.840031152460236
3.11,-8.57924044673805,-0.859476042630531
3.115,-8.58551574000291,-0.879060859500787
3.12,-8.59198207629254,-0.898780031919556
3.125,-8.59871937650585,-0.918626162435397
3.13,-8.60579081945428,-0.938590331321245
3.135,-8.61324136948114,-0.958662421611384
3.14,-8.6210967640431,-0.978831451371039
3.145,-8.62936288972504,-0.999085906311469
3.15,-8.6380255523883,-1.01941407084465
3.155,-8.64705058048595,-1.03980434985155
3.16,-8.6563842553158,-1.06024558022526
3.165,-8.66595401436092,-1.08072733125491
3.17,-8.6756694349825,-1.10124019242331
3.175,-8.68542346899662,-1.1217760459414
3.18,-8.69509393666639,-1.14232832741995
3.185,-8.70454528141746,-1.16289227006675
3.19,-8.71363058873184,-1.18346513037177
3.195,-8.72219389131404,-1.20404639422706
3.2,-8.7300727598184,-1.22463795593842
3.205,-8.73710118627203,-1.24524426599926
3.21,-8.74311274873449,-1.26587243917007
3.215,-8.747944019096,-1.28653231503132
3.22,-8.75143819218821,-1.30723646441701
3.225,-8.75344885212063,-1.3280001306306
3.23,-8.75384376931445,-1.3488411009221
3.235,-8.75250866882568,-1.36977950284507
3.24,-8.7493507705312,-1.39083752354282
3.245,-8.74430203956388,-1.41203905207723
3.25,-8.73732194220475,-1.43340925189112
3.255,-8.72839961007787,-1.45497406964759
3.26,-8.71755527372511,-1.4767596969235
3.265,-8.70484089476702,-1.49879199661208
3.27,-8.69033989456853,-1.52109591805863
3.275,-8.6741659971693,-1.54369491675664
3.28,-8.65646118218193,-1.56661040332985
3.285,-8.63739280073131,-1.5898612386581
3.29,-8.6171499751449,-1.61346329641741
3.295,-8.59593938420613,-1.63742910700217
3.3,-8.5739806104141,-1.6617675936993
3.305,-8.55150120213047,-1.68648390872087
3.31,-8.52873163614651,-1.71157937320752
3.315,-8.50590036175847,-1.73705151724694
3.32,-8.48322904971292,-1.76289421668408
3.325,-8.46092824761032,-1.78909791535267
3.33,-8.43919350599048,-1.81564992371501
3.335,-8.41820209664626,-1.84253477814353
3.34,-8.39811039597416,-1.86973464648809
3.345,-8.37905193800686,-1.89722976508546
3.35,-8.36113618424767,-1.92499889081552
3.355,-8.34444798020716,-1.95301975473837
3.36,-8.32904765092661,-1.98126950318458
3.365,-8.31497171368248,-2.00972511283031
3.37,-8.30223410397573,-2.0383637726876
3.375,-8.29082785154286,-2.0671632203481
3.38,-8.28072711482005,-2.09610203060301
3.385,-8.27188947394661,-2.12515984832692
3.39,-8.26425837127292,-2.15431756615706
3.395,-8.2577656375405,-2.18355744707421
3.4,-8.25233397067124,-2.21286319236159
3.405,-8.24787931461944,-2.24221996227493
3.41,-8.24431305223515,-2.27161435173833
3.415,-8.24154395516604,-2.30103433185204
3.42,-8.23947985177192,-2.33046916350096
3.425,-8.23802899545063,-2.3599092913436
3.43,-8.23710111281884,-2.38934623053941
3.435,-8.2366081490711,-2.41877244980248
3.44,-8.23646476014507,-2.44818126401714
3.445,-8.23658855598293,-2.47756673829462
3.45,-8.23690018641474,-2.50692361153953
3.455,-8.23732330146883,-2.5362472416735
3.46,-8.23778449368362,-2.56553357284665
3.465,-8.2382132332843,-2.59477912447802
3.47,-8.23854189894562,-2.62398099952474
3.475,-8.23870593931953,-2.65313690614275
3.48,-8.23864420333132,-2.68224518707525
3.485,-8.23829946022412,-2.71130484997062
3.49,-8.23761910837565,-2.74031559091953
3.495,-8.23655607300496,-2.76927780251913
3.5,-8.23506984113884,-2.79819256014836
3.505,-8.23312759421309,-2.82706158187161
3.51,-8.23070538129654,-2.85588715390702
3.515,-8.22778924006035,-2.88467202282934
