45,2.5,160,-1.196
46.545,2.5,160,-1.196
45,2.569,160,-1.196
45,2.5,163.09,-1.196
46.04,2.5467,156.91,-1.196
45.262,2.5119,161.56,-1.196
45.782,2.5,160,-1.196
45,2.5353,160,-1.196
45,2.5,161.56,-1.196
45.523,2.5236,158.44,-1.196
45.131,2.5059,160.78,-1.196
45.392,2.5,160,-1.196
45,2.5178,160,-1.196
45,2.5,160.78,-1.196
45.262,2.5119,159.22,-1.196
45.065,2.503,160.39,-1.196
45.196,2.5,160,-1.196
45,2.5089,160,-1.196
45,2.5,160.39,-1.196
45.131,2.5059,159.61,-1.196
45.033,2.5015,160.2,-1.196
45.098,2.5,160,-1.196
45,2.5045,160,-1.196
45,2.5,160.2,-1.196
45.065,2.503,159.8,-1.196
45.016,2.5007,160.1,-1.196
45.049,2.5,160,-1.196
45,2.5022,160,-1.196
45,2.5,160.1,-1.196
45.033,2.5015,159.9,-1.196
45.008,2.5004,160.05,-1.196
45.025,2.5,160,-1.196
45,2.5011,160,-1.196
45,2.5,160.05,-1.196
45.016,2.5007,159.95,-1.196
45.004,2.5002,160.02,-1.196
45.012,2.5,160,-1.196
45,2.5006,160,-1.196
45,2.5,160.02,-1.196
45.008,2.5004,159.98,-1.196
45.002,2.5001,160.01,-1.196
45.006,2.5,160,-1.196
45,2.5003,160,-1.196
45,2.5,160.01,-1.196
45.004,2.5002,159.99,-1.196
45.001,2.5,160.01,-1.196
45.003,2.5,160,-1.196
45,2.5001,160,-1.196
45,2.5,160.01,-1.196
45.002,2.5001,159.99,-1.196
45.001,2.5,160,-1.196
45.002,2.5,160,-1.196
45,2.5001,160,-1.196
45,2.5,160,-1.196
45.001,2.5,160,-1.196
45,2.5,160,-1.196
45.001,2.5,160,-1.196
45,2.5,160,-1.196
45,2.5,160,-1.196
45.001,2.5,160,-1.196
45,2.5,160,-1.196
45,2.5,160,-1.196
45,2.5,160,-1.196
45,2.5,160,-1.196
45,2.5,160,-1.196
46.545,2.5,160,-1.1697
45,2.569,160,-1.2659
45,2.5,163.09,-1.1525
46.04,2.5467,156.91,-1.2997
46.545,2.569,154.12,-1.629
44.477,2.5902,155.93,-1.1945
45,2.569,156.91,-1.1664
45.782,2.569,156.91,-1.3295
45.782,2.5353,156.91,-1.25
46.545,2.5353,156.91,-1.3268
46.792,2.5798,155,-1.4887
46.21,2.6069,153.84,-1.4532
47.218,2.6015,152.19,-1.5876
47.466,2.5588,153.54,-1.5336
47.367,2.574,151.8,-1.3042
46.939,2.5783,154.09,-1.594
46.312,2.606,153.29,-1.4452
47.189,2.5712,153.48,-1.4452
46.743,2.5737,154.1,-1.4452
46.887,2.5856,153.1,-1.4932
47.016,2.5639,153.83,-1.4932
45,2.5,160,-11.127
46.545,2.5,160,-11.208
45,2.5927,160,-11.443
45,2.5,166.18,-11.452
46.04,2.5624,164.16,-11.479
46.545,2.5927,166.18,-11.396
44.132,2.6026,166.84,-11.181
45.954,2.5261,161.74,-11.658
46.322,2.4652,167.92,-11.261
45.334,2.5615,162.03,-11.416
45.997,2.5443,162.96,-11.678
45.479,2.5131,163.99,-11.771
45.479,2.5598,160.87,-11.714
45.349,2.5521,163.47,-11.733
44.869,2.5392,162.61,-11.539
45.717,2.543,162.87,-11.716
45.552,2.5122,165.96,-11.613
45.497,2.548,162.16,-11.547
45.414,2.5327,163.73,-11.763
45.599,2.5281,163.43,-11.531
45.479,2.5366,162.44,-11.361
45.515,2.5126,164.98,-11.802
45.533,2.5007,166.22,-10.542
45.34,2.5108,165.03,-11.653
45.405,2.5152,164.63,-11.653
45.534,2.5238,163.83,-11.35
45.437,2.5173,164.43,-11.518
45.497,2.5129,164.48,-11.31
45.465,2.5227,164.36,-11.483
45.46,2.5139,164.81,-11.621
45.463,2.5199,164.94,-11.437
45.472,2.5182,164.83,-11.68
45.5,2.5071,165.38,-11.513
45.491,2.511,165.13,-11.747
45.525,2.514,165.15,-11.693
45.55,2.5069,165.34,-9.6314
45.491,2.5154,164.96,-9.6314
45.503,2.5118,165.05,-9.6314
45.52,2.5133,165.07,-9.6314
45.493,2.5154,164.9,-9.6314
