"Freq [GHz]","mag(S(Tx_p1,Tx_p1)) []","ang_rad(S(Tx_p1,Tx_p1)) [rad]"
1,0.0052763321205298,-3.02100478873014
1.01,0.00527466910083069,3.01368385338046
1.02,0.00527297694347248,2.76517165734307
1.03,0.00527125604314238,2.51664440781946
1.04,0.00526950677817559,2.26810256321667
1.05,0.0052677295104619,2.01954656491614
1.06,0.00526592458590526,1.77097683723252
1.07,0.00526409233505603,1.52239378831434
1.08,0.00526223307550379,1.2737978115089
1.09,0.00526034710902652,1.0251892856042
1.1,0.00525843472848864,0.776568575115232
1.11,0.00525649621225836,0.527936031817526
1.12,0.00525453182733485,0.279291994703548
1.13,0.0052525418320825,0.0306367907620136
1.14,0.00525052647418884,-0.218029264558901
1.15,0.00524848598922712,-0.466705866435985
1.16,0.00524642060733874,-0.71539272128464
1.17,0.00524433054662265,-0.964089544795515
1.18,0.00524221602072748,-1.21279606260511
1.19,0.00524007723221408,-1.4615120095375
1.2,0.00523791437826294,-1.7102371292455
1.21,0.00523572764804919,-1.95897117373852
1.22,0.00523351722629605,-2.2077139031364
1.23,0.00523128328679921,-2.45646508519374
1.24,0.00522902600226785,-2.7052244954953
1.25,0.00522674553641348,-2.95399191604018
1.26,0.00522444204976928,3.08041817078115
1.27,0.00522211569693171,2.83163535498342
1.28,0.00521976662571637,2.58284514137821
1.29,0.00521739498255183,2.3340477220236
1.3,0.00521500090618857,2.08524328292519
1.31,0.00521258453482884,1.83643200438437
1.32,0.00521014599858473,1.58761406151696
1.33,0.00520768542555845,1.33878962417023
1.34,0.00520520294068397,1.0899588571288
1.35,0.00520269866504591,0.841121920721345
1.36,0.00520017271622395,0.592278970162021
1.37,0.00519762520686711,0.343430156717582
1.38,0.0051950562514912,0.0945756271615117
1.39,0.00519246595492141,-0.154284475911408
1.4,0.00518985442477156,-0.403150013717901
1.41,0.00518722176434719,-0.65202085162436
1.42,0.00518456807208011,-0.900896858234519
1.43,0.00518189344719536,-1.14977790584521
1.44,0.00517919798471403,-1.39866387043568
1.45,0.00517648177833587,-1.64755463110132
1.46,0.00517374491825914,-1.89645007009371
1.47,0.00517098749519844,-2.14535007304435
1.48,0.00516820959572532,-2.39425452784545
1.49,0.00516541130466447,-2.64316332631545
1.5,0.00516259270623774,-2.89207636225566
1.51,0.00515975388203724,-3.14099353232188
1.52,0.00515689491199845,2.89327057116515
1.53,0.00515401587580835,2.64434543222548
1.54,0.00515111684957034,2.39541645353281
1.55,0.00514819790855002,2.14648372869502
1.56,0.00514525912818071,1.89754734853876
1.57,0.00514230058180553,1.64860740222438
1.58,0.0051393223406065,1.3996639764145
1.59,0.00513632447463233,1.15071715579787
1.6,0.0051333070541362,0.90176702323803
1.61,0.00513027014754078,0.652813659472432
1.62,0.00512721382100324,0.403857143215669
1.63,0.00512413814093133,0.154897551967786
1.64,0.00512104317343126,-0.0940650392327677
1.65,0.00511792898310046,-0.343030556666081
1.66,0.00511479563210392,-0.591998928146393
1.67,0.00511164318390207,-0.84097008354341
1.68,0.00510847169954448,-1.08994395379011
1.69,0.00510528124111635,-1.33892047151333
1.7,0.00510207186830819,-1.58789957114086
1.71,0.00509884364008692,-1.83688118783843
1.72,0.0050955966155847,-2.08586525882401
1.73,0.00509233085238831,-2.33485172200484
1.74,0.00508904640974144,-2.58384051702432
1.75,0.00508574334351356,-2.83283158482137
1.76,0.0050824217086753,-3.08182486731958
1.77,0.00507908156309865,2.95236499956848
1.78,0.00507572296078847,2.70336745715601
1.79,0.00507234595786643,2.45436786699018
1.8,0.0050689506067237,2.20536628273988
1.81,0.00506553696230911,1.95636275673426
1.82,0.00506210507705239,1.70735734022535
1.83,0.00505865500472093,1.45835008377876
1.84,0.00505518679673294,1.20934103671434
1.85,0.00505170050697297,0.960330247439657
1.86,0.00504819618624662,0.71131776379276
1.87,0.00504467388473903,0.462303632100501
1.88,0.00504113365496654,0.213287898398193
1.89,0.00503757554696084,-0.0357293926079624
1.9,0.00503399961178073,-0.284748196474728
1.91,0.00503040589940151,-0.533768470140499
1.92,0.00502679445832828,-0.782790170853592
1.93,0.00502316533947374,-1.0318132569042
1.94,0.005019518592034,-1.28083768714966
1.95,0.0050158542641308,-1.52986342131735
1.96,0.00501217240544483,-1.77889041979544
1.97,0.0050084730650054,-2.02791864337427
1.98,0.00500475628906702,-2.27694805382486
1.99,0.00500102212835619,-2.52597861369805
