"Freq [GHz]","mag(S(Tx_p1,Tx_p1)) []","ang_rad(S(Tx_p1,Tx_p1)) [rad]"
1,0.00165728587244801,-1.45570189208262
1.01,0.00165672946415346,-1.75163760859907
1.02,0.00165616477339872,-2.04758620994275
1.03,0.0016555918920699,-2.34354729839824
1.04,0.00165501090547771,-2.63952049272712
1.05,0.00165442189616457,-2.93550542539368
1.06,0.00165382494362412,3.05168356433303
1.07,0.00165322012154744,2.75567620210624
1.08,0.00165260750529443,2.45965812309147
1.09,0.00165198716128234,2.1636296428081
1.1,0.00165135915959227,1.86759106506605
1.11,0.00165072356176677,1.57154268381912
1.12,0.00165008043018567,1.27548478158774
1.13,0.00164942982433042,0.979417631305212
1.14,0.00164877180139663,0.683341496390856
1.15,0.00164810641525246,0.387256630960618
1.16,0.00164743372002323,0.0911632809463253
1.17,0.00164675376580578,-0.204938316482889
1.18,0.00164606660221882,-0.50104793212575
1.19,0.00164537227720208,-0.797165343864888
1.2,0.00164467083519665,-1.09329033794977
1.21,0.00164396232108816,-1.38942270641835
1.22,0.00164324677805291,-1.68556224885859
1.23,0.00164252424752116,-1.98170877086666
1.24,0.00164179476876323,-2.27786208435491
1.25,0.00164105838201272,-2.57402200706259
1.26,0.00164031512366022,-2.87018836257673
1.27,0.00163956503025392,3.11682432743673
1.28,0.0016388081377037,2.8206456143359
1.29,0.00163804448116692,2.52446096647853
1.3,0.00163727409273981,2.22827053927735
1.31,0.00163649700431685,1.93207448445168
1.32,0.00163571324940441,1.63587294866883
1.33,0.00163492285739793,1.33966607464933
1.34,0.00163412585868341,1.0434540006594
1.35,0.00163332228262508,0.747236861788575
1.36,0.00163251215726101,0.45101478730947
1.37,0.00163169551070841,0.154787905163441
1.38,0.00163087236933861,-0.141443661398652
1.39,0.00163004275995527,-0.437679792644681
1.4,0.00162920670887628,-0.733920371430172
1.41,0.00162836424058675,-1.03016528510232
1.42,0.00162751538034077,-1.32641442290789
1.43,0.00162666015236051,-1.62266767723862
1.44,0.00162579857931531,-1.91892494365784
1.45,0.00162493068499323,-2.21518612045543
1.46,0.00162405649283149,-2.51145110833795
1.47,0.00162317602388324,-2.80771981062056
1.48,0.00162228930048475,-3.1039921334261
1.49,0.00162139634460454,2.88291732219555
1.5,0.00162049717674128,2.58663803125682
1.51,0.00161959181838551,2.29035538808197
1.52,0.00161868028806102,1.99406947808492
1.53,0.00161776260781267,1.6977803834476
1.54,0.0016168387961096,1.40148818539873
1.55,0.00161590887388759,1.10519296301659
1.56,0.00161497285864992,0.808894793130907
1.57,0.00161403076928477,0.512593750706166
1.58,0.00161308262497407,0.216289909573032
1.59,0.00161212844465732,-0.0800166587331242
1.6,0.00161116824500816,-0.376325884183746
1.61,0.00161020204500575,-0.6726376985688
1.62,0.00160922986131003,-0.968952034081312
1.63,0.0016082517126329,-1.26526882660296
1.64,0.00160726761509643,-1.56158801151526
1.65,0.00160627758607168,-1.85790952656326
1.66,0.00160528164300537,-2.15423331032347
1.67,0.00160427980129004,-2.45055930353891
1.68,0.00160327207784006,-2.74688744743315
1.69,0.00160225849043047,-3.04321768485564
1.7,0.00160123905267745,2.94363534754997
1.71,0.00160021378275713,2.64730109004891
1.72,0.00159918269607361,2.35096490411671
1.73,0.00159814580818906,2.05462684101781
1.74,0.00159710313416273,1.75828695348589
1.75,0.0015960546907837,1.46194529144447
1.76,0.00159500049275596,1.16560190448672
1.77,0.00159394055561265,0.869256840907312
1.78,0.00159287489314733,0.572910148574112
1.79,0.00159180352289945,0.276561873364496
1.8,0.00159072645825996,-0.0197879384864675
1.81,0.0015896437150305,-0.316139242263346
1.82,0.00158855530663337,-0.612491994401302
1.83,0.00158746124926706,-0.908846151463095
1.84,0.00158636155689027,-1.20520167120862
1.85,0.00158525624437561,-1.50155851236171
1.86,0.00158414532640189,-1.79791663396365
1.87,0.00158302881789419,-2.09427599590027
1.88,0.00158190673116385,-2.39063655928401
1.89,0.00158077908295115,-2.68699828531179
1.9,0.00157964588658818,-2.9833611362031
1.91,0.00157850715685446,3.00346023253559
1.92,0.00157736290660436,2.70709524307825
1.93,0.00157621315112285,2.41072923869842
1.94,0.00157505790501171,2.11436225452977
1.95,0.00157389718088847,1.81799432548343
1.96,0.00157273099315042,1.52162548557264
1.97,0.00157155935751966,1.22525576857924
1.98,0.00157038228525412,0.928885207111586
1.99,0.00156919979210459,0.632513834273648
2,0.00156801189230847,0.336141681490988
2.01,0.00156681859832695,0.0397687807182219
2.02,0.00156561992428279,-0.256604837341961
2.03,0.00156441588524973,-0.552979141955649
2.04,0.00156320649357984,-0.849354103529751
2.05,0.00156199176415779,-1.14572969206298
2.06,0.00156077170996336,-1.44210587857878
2.07,0.00155954634627362,-1.7384826343871
2.08,0.00155831568492664,-2.03485993118219
2.09,0.00155707974068986,-2.331237741193
2.1,0.00155583852662351,-2.62761603684864
2.11,0.00155459205817956,-2.92399479137598
2.12,0.00155334034647936,3.06281132954761
2.13,0.00155208340810923,2.76643173763173
2.14,0.001550821254655,2.47005176589849
2.15,0.00154955390055719,2.17367144005346
2.16,0.00154828135997586,1.87729078525888
2.17,0.00154700364531831,1.58090982659121
2.18,0.00154572077184377,1.28452858837687
2.19,0.00154443275341578,0.988147095311972
2.2,0.00154313960209099,0.691765370593716
2.21,0.00154184133258646,0.395383438579158
