"Freq [GHz]","mag(S(Rx_p1,Tx_p1)) []","ang_rad(S(Rx_p1,Tx_p1)) [rad]"
1,0.015505684965375,1.40130886864581
1.01,0.0156276282199944,1.25067096077766
1.02,0.0157321275435032,1.09923265353908
1.03,0.0158180072768537,0.947120907529196
1.04,0.0158843092596622,0.794462266419367
1.05,0.0159302924131706,0.641382654092826
1.06,0.01595543193415,0.488007342875105
1.07,0.0159594183805434,0.334461045578568
1.08,0.0159421566070607,0.180868088937204
1.09,0.0159037647794416,0.0273526285994725
1.1,0.0158445733242691,-0.125961128061087
1.11,0.0157651239560753,-0.278948730855785
1.12,0.015666168684167,-0.431485360803123
1.13,0.0155486686013476,-0.583445812572467
1.14,0.0154137924535649,-0.734704628076514
1.15,0.0152629147278607,-0.885136428313877
1.16,0.0150976129028206,-1.03461651148264
1.17,0.0149196635927089,-1.18302176123041
1.18,0.0147310370943227,-1.33023195152269
1.19,0.0145338896777681,-1.47613150565888
1.2,0.0143305529844223,-1.6206117784014
1.21,0.0141235196343999,-1.76357391424966
1.22,0.0139154241369385,-1.9049323070117
1.23,0.013709018093292,-2.04461864350477
1.24,0.0135071386014608,-2.18258645442047
1.25,0.0133126691431754,-2.3188160073619
1.26,0.0131284923386986,-2.45331927222054
1.27,0.0129574344497479,-2.5861445849096
1.28,0.0128022024571445,-2.71738052417343
1.29,0.0126653151461125,-2.84715844074937
1.3,0.0125490310584117,-2.97565308097227
1.31,0.0124552769043244,-3.10308081296503
1.32,0.0123855809387099,3.05349015272527
1.33,0.0123410164561375,2.92740572197052
1.34,0.0123221597578722,2.80154734172529
1.35,0.0123290668276321,2.67560208015725
1.36,0.0123612705772871,2.54926003316629
1.37,0.0124177994147374,2.42222615980139
1.38,0.012497215161594,2.29423082721174
1.39,0.0125976671708574,2.16503825939979
1.4,0.0127169580313071,2.0344523827695
1.41,0.012852615825111,1.9023199280291
1.42,0.0130019681990217,1.76853095111603
1.43,0.0131622140331028,1.63301718807844
1.44,0.0133304896609439,1.49574877727196
1.45,0.0135039276308053,1.35672992248457
1.46,0.0136797068959344,1.2159940207157
1.47,0.0138550944806152,1.07359868996936
1.48,0.0140274788463477,0.929621018736784
1.49,0.0141943958886175,0.784153249478264
1.5,0.0143535486155326,0.637299016676356
1.51,0.0145028214684075,0.489170187896819
1.52,0.0146402904176484,0.339884290000489
1.53,0.0147642296963231,0.189562492176737
1.54,0.0148731159648487,0.0383280769692879
1.55,0.0149656306003041,-0.113694665596023
1.56,0.015040660651593,-0.266381190878385
