"Freq [GHz]","mag(S(Rx_p1,Tx_p1)) []","ang_rad(S(Rx_p1,Tx_p1)) [rad]"
1,0.00163879732598301,-0.619674192699541
1.01,0.00163660472066012,-0.904682590813465
1.02,0.00163456760380347,-1.18971741768534
1.03,0.00163268118372889,-1.47478408433624
1.04,0.00163094014454969,-1.7598877521785
1.05,0.00162933868895686,-2.04503331175981
1.06,0.00162787057969276,-2.33022536140909
1.07,0.00162652918320121,-2.61546818954388
1.08,0.00162530750849207,-2.90076575958201
1.09,0.00162419825408737,3.09706361023056
1.1,0.00162319385251625,2.81164602767952
1.11,0.00162228651048898,2.52616387724408
1.12,0.00162146825633012,2.24061459624471
1.13,0.00162073097842377,1.9549959846077
1.14,0.00162006647164952,1.66930620534035
1.15,0.00161946647525229,1.38354378217286
1.16,0.00161892271032403,1.09770759594754
1.17,0.00161842692537852,0.811796879364749
1.18,0.00161797092313373,0.525811208598148
1.19,0.00161754660390669,0.23975049501354
1.2,0.00161714599393214,-0.0463850248785004
1.21,0.00161676127926843,-0.332594801259599
1.22,0.00161638483140607,-0.618877983601483
1.23,0.00161600923927494,-0.90523343376733
1.24,0.00161562733383463,-1.1916597402176
1.25,0.00161523220929168,-1.47815523270898
1.26,0.00161481724548904,-1.76471799717781
1.27,0.00161437612824134,-2.05134589229238
1.28,0.00161390286892749,-2.33803656389563
1.29,0.00161339181476453,-2.62478746198731
1.3,0.00161283766929834,-2.91159585686185
1.31,0.001612235497738,3.08472645336991
1.32,0.00161158074491032,2.79781189652301
1.33,0.00161086923742394,2.51084895486807
1.34,0.00161009719266349,2.22384091919833
1.35,0.00160926122648443,1.93679118269716
1.36,0.00160835835410371,1.64970322379303
1.37,0.00160738599406871,1.36258059216046
1.38,0.00160634197003402,1.07542689416557
1.39,0.00160522450677134,0.788245777398882
1.4,0.00160403223442406,0.501040918829178
1.41,0.00160276417961809,0.213816008600314
1.42,0.00160141976741009,-0.0734252623912714
1.43,0.00159999880990103,-0.360679215127259
1.44,0.0015985015058602,-0.64794219589275
1.45,0.00159692842775824,-0.93521058921801
1.46,0.00159528052024771,-1.22248082927142
1.47,0.00159355908381097,-1.5097494121268
1.48,0.00159176576994688,-1.79701290798796
1.49,0.0015899025664209,-2.08426797197158
1.5,0.00158797178730303,-2.3715113555319
1.51,0.00158597606088623,-2.65873991754617
1.52,0.00158391831188175,-2.94595063423878
1.53,0.00158180175244981,3.05004469699493
1.54,0.00157962986251953,2.76287821914947
1.55,0.00157740637777049,2.47573784939287
