"Freq [GHz]","mag(S(Rx_p1,Tx_p1)) []","ang_rad(S(Rx_p1,Tx_p1)) [rad]"
1,0.0123472990353226,1.20263096310314
1.01,0.0124352472642973,0.985716075877111
1.02,0.0125292739381695,0.769310926088017
1.03,0.0126290328891389,0.553434370517751
1.04,0.0127341705923421,0.338101772832846
1.05,0.0128443285768656,0.123325161815239
1.06,0.0129591456276689,-0.0908865797219153
1.07,0.0130782598441256,-0.304527505003027
1.08,0.013201310445935,-0.51759437806639
1.09,0.0133279394743813,-0.73008643906052
1.1,0.0134577931829391,-0.942005169309587
1.11,0.0135905233494351,-1.15335405442481
1.12,0.0137257883412295,-1.36413835611075
1.13,0.0138632540217706,-1.57436489134428
1.14,0.0140025945514019,-1.78404182344451
1.15,0.01414349293733,-1.99317846581087
1.16,0.0142856415873788,-2.201785099105
1.17,0.014428742617113,-2.40987280556734
1.18,0.0145725081610738,-2.61745331344005
1.19,0.0147166605198837,-2.82453886212305
1.2,0.014860932281995,-3.03114207735456
1.21,0.0150050663040596,3.04590944643703
1.22,0.015148815729887,2.84023201321922
1.23,0.0152919439042465,2.63499775431273
1.24,0.0154342241994411,2.43019347186273
1.25,0.015575439953996,2.22580601007407
1.26,0.015715384198442,2.02182231066993
1.27,0.0158538595440179,1.81822945461602
1.28,0.0159906778782385,1.61501470377671
1.29,0.0161256602177911,1.41216552950143
1.3,0.0162586364089447,1.20966963848936
1.31,0.0163894449356269,1.00751499261396
1.32,0.0165179326231638,0.805689822875611
1.33,0.0166439544383328,0.604182642360621
1.34,0.0167673732240378,0.402982250213336
1.35,0.0168880594445537,0.202077739256006
1.36,0.017005890977536,0.0014584953376623
1.37,0.0171207528329936,-0.198885802286729
1.38,0.0172325369659749,-0.398965184302313
1.39,0.0173411420384214,-0.598789395060137
1.4,0.0174464731869574,-0.798367898559051
1.41,0.0175484418021611,-0.997709883974344
1.42,0.0176469653533497,-1.19682427613271
1.43,0.0177419671525657,-1.39571974062582
1.44,0.0178333761701339,-1.59440469459404
1.45,0.0179211268268056,-1.79288731571958
1.46,0.018005158838688,-1.99117555194709
1.47,0.018085416997176,-2.18927713205437
1.48,0.0181618510230908,-2.3871995736994
1.49,0.0182344153783999,-2.5849501977546
1.5,0.0183030690847577,-2.78253613348893
1.51,0.0183677755894622,-2.97996433276036
1.52,0.0184285025928324,3.10594372882161
1.53,0.0184852218624918,2.9088108128659
1.54,0.0185379091405402,2.71181575134043
1.55,0.0185865439328909,2.51495220759834
1.56,0.0186311093983154,2.31821397495795
1.57,0.0186715922143507,2.12159496715897
1.58,0.0187079824119374,1.92508920756007
1.59,0.0187402732397604,1.72869082285619
1.6,0.0187684610439663,1.53239403232219
1.61,0.0187925451395893,1.33619314002356
1.62,0.0188125276823074,1.14008252657644
1.63,0.0188284135332227,0.944056640972117
1.64,0.0188402101491101,0.748109992895203
1.65,0.0188479274524198,0.552237144933171
1.66,0.0188515777319699,0.356432704962671
1.67,0.0188511755245105,0.160691319539845
1.68,0.0188467375128784,-0.0349923335418418
1.69,0.0188382824140853,-0.23062355168261
1.7,0.0188258308843383,-0.426207614309502
1.71,0.0188094054306086,-0.621749789223103
1.72,0.0187890302819794,-0.81725533847742
1.73,0.0187647313824124,-1.01272952585933
1.74,0.0187365362267384,-1.20817762063778
1.75,0.0187044738180113,-1.40360490469903
1.76,0.0186685746132129,-1.59901667813371
1.77,0.0186288704083071,-1.79441826454304
1.78,0.0185853943465383,-1.9898150162467
1.79,0.0185381807859454,-2.18521232043727
1.8,0.018487265310404,-2.38061560304743
1.81,0.0184326846673927,-2.57603033528049
1.82,0.0183744767092491,-2.77146203851768
1.83,0.0183126803919923,-2.9669162887157
1.84,0.0182473357448551,3.12078658493012
1.85,0.0181784838511129,2.92527026628799
1.86,0.0181061668407634,2.72971429059691
1.87,0.0180304278718566,2.53411281022167
1.88,0.017951311163804,2.33845989578502
1.89,0.0178688619962437,2.14274953285618
1.9,0.0177831267094755,1.94697561511297
1.91,0.0176941527621926,1.75113193882351
1.92,0.0176019887510016,1.55521219747859
1.93,0.017506684459418,1.35920997616081
1.94,0.0174082909031152,1.16311874569741
1.95,0.0173068603657968,0.966931855990285
1.96,0.0172024465002749,0.770642530266318
1.97,0.0170951043885754,0.574243858660546
1.98,0.0169848906001245,0.377728791090133
1.99,0.016871863297387,0.181090130800449
2,0.0167560823446692,-0.0156794730595663
2.01,0.0166376093537182,-0.212587532194241
2.02,0.0165165078655096,-0.409641726968267
2.03,0.0163928433989268,-0.606849914151133
2.04,0.0162666836015924,-0.804220134752847
2.05,0.016138098379537,-1.00176062201538
2.06,0.01600716002166,-1.1994798083851
2.07,0.0158739433475778,-1.39738633588253
2.08,0.0157385258412952,-1.59548906247688
2.09,0.0156009877970795,-1.79379707113848
2.1,0.0154614125161989,-1.99231967727455
2.11,0.0153198863983827,-2.19106643771268
2.12,0.0151764991794756,-2.39004715697422
2.13,0.0150313440598099,-2.58927189458819
2.14,0.0148845178786041,-2.78875097287928
2.15,0.0147361213261642,-2.98849498170036
2.16,0.0145862590669302,3.09467052427964
2.17,0.0144350399923348,2.89436379201317
2.18,0.014282577349474,2.69375871170911
2.19,0.0141289889651671,2.49284358780991
2.2,0.0139743974062771,2.29160644691283
2.21,0.0138189301892753,2.0900350426702
2.22,0.0136627199518392,1.88811686265998
2.23,0.0135059046335948,1.6858391387501
2.24,0.0133486276674642,1.48318886134049
2.25,0.0131910381209655,1.28015279827384
2.26,0.0130332909093079,1.0767175192891
2.27,0.012875546891441,0.872869426140892
