"Freq [GHz]","mag(S(Rx_p1,Tx_p1)) []","ang_rad(S(Rx_p1,Tx_p1)) [rad]"
1,0.250553815676431,-2.51965635328409
1.01,0.181294069355212,-2.17211312230076
1.02,0.248687533031065,-1.87118798302019
1.03,0.325362420933046,-1.9828458077272
1.04,0.36520923096002,-2.16618522839071
1.05,0.379467809932317,-2.38360912141738
1.06,0.343266046026121,-2.64175590782698
1.07,0.243450822450151,-2.78367244054268
1.08,0.176593528514068,-2.396877176302
1.09,0.25105825477936,-2.09918783660045
1.1,0.333478956642708,-2.22599558900061
1.11,0.377437778476564,-2.43443175522175
1.12,0.386266780911558,-2.68257800894019
1.13,0.33541603648457,-2.95391793128622
1.14,0.224233855115187,-3.06095399432186
1.15,0.171167749979222,-2.55935062340111
1.16,0.264056892117661,-2.31967877970384
1.17,0.351354946115003,-2.48892227947303
1.18,0.394099780264184,-2.72964055497179
1.19,0.392873899992942,-3.00311096534692
1.2,0.326885305139712,3.00121054241369
1.21,0.205417990630046,2.93362156591852
1.22,0.16839655009313,-2.73512871836512
1.23,0.276873625205164,-2.56527750569634
1.24,0.365910827180118,-2.77420029286036
1.25,0.402835268072584,-3.04106476954302
1.26,0.388749594457333,2.95848759346784
1.27,0.312123291250193,2.69547424790277
1.28,0.192656829777572,2.68635245504746
1.29,0.173275086506869,-2.96100524979481
1.3,0.285149275109435,-2.84444082574687
1.31,0.373496683042118,-3.07128690706195
1.32,0.405243533403743,2.9265586449052
1.33,0.378784729324739,2.63586266767641
1.34,0.292750038262517,2.39847136705083
1.35,0.181471751928851,2.46945864447874
1.36,0.181730664520119,3.07713334091132
1.37,0.291312370420298,-3.13505480891781
1.38,0.377879078792653,2.91440121808669
1.39,0.405989314739301,2.6154898010845
1.4,0.369549942376877,2.31792043155676
1.41,0.275828780769449,2.10416050410095
1.42,0.17316843024013,2.25140787607849
1.43,0.189847712001296,2.81907992295249
1.44,0.296545530970972,2.85209779600505
1.45,0.38013031624836,2.61223561481465
1.46,0.403072546227193,2.30424393663391
1.47,0.357352769752021,2.00888079817686
1.48,0.260487012669861,1.83155409639775
1.49,0.171975361902272,2.04157385215094
1.5,0.199513681765391,2.53490538690997
1.51,0.3014195229707,2.54488750856712
1.52,0.382073050971617,2.30120715017354
1.53,0.399267572785224,1.98502680025011
1.54,0.344265262297618,1.69416243622427
1.55,0.245735393426355,1.55823131875178
1.56,0.172274012703398,1.8171058649054
1.57,0.206037688149827,2.24253193270028
1.58,0.303650817229654,2.24317443832686
1.59,0.383897336223327,1.99649216553844
1.6,0.397796659984274,1.6700169729466
1.61,0.335903606294636,1.37856096928342
1.62,0.236291197777439,1.26869991952204
1.63,0.171447660352864,1.54603128748438
1.64,0.20466009254126,1.94138699808097
1.65,0.298996261776911,1.95012002082376
1.66,0.379847629628487,1.70257762813418
1.67,0.391459867889856,1.36956961688402
1.68,0.325599531012918,1.08534212271257
1.69,0.230299819205575,1.00799728453042
1.7,0.176711381915908,1.27421278999014
1.71,0.205594893521333,1.61960416822696
1.72,0.293749406387938,1.64077328000549
1.73,0.372239153229979,1.39646064822082
1.74,0.378875158448879,1.06315268783328
1.75,0.308525126050803,0.798494463526985
1.76,0.221112572288741,0.777032751258928
1.77,0.185275430659762,1.03501377037951
1.78,0.213259441318605,1.30337896674846
1.79,0.294280511583018,1.32245292363507
1.8,0.3695108545352,1.08064932423667
1.81,0.371285242765321,0.745734952774346
1.82,0.296257715086772,0.492850677785081
1.83,0.212708678078665,0.509965288846597
1.84,0.186617155240927,0.768793294880839
1.85,0.214465422759181,1.00620512531024
1.86,0.293021741164543,1.02511004812577
1.87,0.36792779217862,0.782341933427184
1.88,0.368605153178895,0.445021069683086
1.89,0.293415684738937,0.195852154521649
1.9,0.213322991936283,0.212508744698552
1.91,0.185874645930548,0.442584681875573
1.92,0.206147964886458,0.691380153828479
1.93,0.283185087722817,0.736161501286986
1.94,0.359179655007047,0.497430987871134
1.95,0.360815459276516,0.163497123391173
1.96,0.289646048793251,-0.0744444150995463
1.97,0.217607814392482,-0.0610100459033763
1.98,0.19028903345117,0.119432385373468
1.99,0.201157579060725,0.36138425232187
2,0.27439991820677,0.433417415984706
2.01,0.349992303539344,0.200700992504052
2.02,0.351090115922075,-0.13004644432158
2.03,0.281674413231429,-0.357978295669895
2.04,0.214357271839733,-0.334953217520693
2.05,0.189792732409797,-0.16188921705223
2.06,0.201160828295707,0.0734177122417196
2.07,0.274951646757526,0.138512989728128
2.08,0.350123595399389,-0.101183975446668
2.09,0.350023435260731,-0.438345077796777
2.1,0.278683902255635,-0.674946541980299
2.11,0.20698959398743,-0.654807647245284
2.12,0.17959030671408,-0.445645210772419
2.13,0.19780455565762,-0.177759968722182
2.14,0.278140323454316,-0.136837706302337
2.15,0.353579006271233,-0.393767476210173
2.16,0.352673563940474,-0.739191869414241
2.17,0.280137490940385,-0.987305549954329
2.18,0.20425587976667,-0.97993663893666
2.19,0.172920993883379,-0.751261352734609
2.2,0.193794941568044,-0.459312465648961
2.21,0.276301238981383,-0.429002214830369
2.22,0.350188821474517,-0.692864621685083
2.23,0.347916019319978,-1.03936835232071
2.24,0.27491242213437,-1.2862372786301
2.25,0.199494115112395,-1.26555953499155
2.26,0.173357080337232,-1.02391482649089
2.27,0.197526237071166,-0.766254812587345
2.28,0.274953195397002,-0.75168232517538
2.29,0.343679158184672,-1.01151141738198
2.3,0.338414900099184,-1.35565592937813
2.31,0.262657734208787,-1.59773640621024
2.32,0.186986513260833,-1.53615624152105
2.33,0.17260973945062,-1.25077410924197
2.34,0.206517348507072,-1.05195504726237
2.35,0.2782014744129,-1.07595200709461
2.36,0.339531096952274,-1.33258536337211
